"Date","Price","Open","High","Low","Change %"
"Oct 23, 2020","1.5560","1.5524","1.5594","1.5497","0.28%"
"Oct 22, 2020","1.5517","1.5592","1.5608","1.5516","-0.44%"
"Oct 21, 2020","1.5586","1.5522","1.5598","1.5502","0.44%"
"Oct 20, 2020","1.5517","1.5529","1.5587","1.5501","-0.03%"
"Oct 19, 2020","1.5522","1.5460","1.5531","1.5424","0.47%"
"Oct 16, 2020","1.5450","1.5479","1.5512","1.5437","-0.15%"
"Oct 15, 2020","1.5473","1.5445","1.5510","1.5433","0.21%"
"Oct 14, 2020","1.5440","1.5432","1.5470","1.5386","0.08%"
"Oct 13, 2020","1.5428","1.5491","1.5507","1.5400","-0.39%"
"Oct 12, 2020","1.5488","1.5509","1.5527","1.5470","-0.15%"
"Oct 09, 2020","1.5511","1.5518","1.5556","1.5498","-0.02%"
"Oct 08, 2020","1.5514","1.5591","1.5616","1.5510","-0.46%"
"Oct 07, 2020","1.5586","1.5617","1.5663","1.5590","-0.17%"
"Oct 06, 2020","1.5612","1.5631","1.5660","1.5606","-0.10%"
"Oct 05, 2020","1.5627","1.5590","1.5653","1.5559","0.24%"
"Oct 02, 2020","1.5589","1.5611","1.5631","1.5570","-0.12%"
"Oct 01, 2020","1.5608","1.5612","1.5643","1.5576","0.03%"
"Sep 30, 2020","1.5604","1.5722","1.5743","1.5589","-0.73%"
"Sep 29, 2020","1.5719","1.5597","1.5742","1.5587","0.78%"
"Sep 28, 2020","1.5597","1.5571","1.5632","1.5551","0.20%"
"Sep 25, 2020","1.5566","1.5596","1.5604","1.5547","-0.19%"
"Sep 24, 2020","1.5596","1.5610","1.5639","1.5565","-0.06%"
"Sep 23, 2020","1.5606","1.5572","1.5620","1.5539","0.25%"
"Sep 22, 2020","1.5567","1.5664","1.5680","1.5568","-0.59%"
"Sep 21, 2020","1.5660","1.5631","1.5673","1.5577","0.19%"
"Sep 18, 2020","1.5630","1.5600","1.5660","1.5574","0.22%"
"Sep 17, 2020","1.5595","1.5570","1.5628","1.5531","0.19%"
"Sep 16, 2020","1.5566","1.5620","1.5647","1.5523","-0.30%"
"Sep 15, 2020","1.5613","1.5639","1.5653","1.5591","-0.15%"
"Sep 14, 2020","1.5636","1.5611","1.5661","1.5583","0.20%"
"Sep 11, 2020","1.5605","1.5585","1.5639","1.5568","0.15%"
"Sep 10, 2020","1.5581","1.5517","1.5663","1.5508","0.46%"
"Sep 09, 2020","1.5509","1.5588","1.5618","1.5512","-0.47%"
"Sep 08, 2020","1.5583","1.5478","1.5593","1.5459","0.69%"
"Sep 07, 2020","1.5476","1.5451","1.5526","1.5445","0.12%"
"Sep 04, 2020","1.5458","1.5554","1.5565","1.5453","-0.60%"
"Sep 03, 2020","1.5551","1.5460","1.5581","1.5425","0.60%"
"Sep 02, 2020","1.5459","1.5562","1.5583","1.5445","-0.63%"
"Sep 01, 2020","1.5557","1.5573","1.5653","1.5549","-0.09%"
"Aug 31, 2020","1.5571","1.5582","1.5611","1.5535","-0.12%"
"Aug 28, 2020","1.5589","1.5520","1.5610","1.5503","0.49%"
"Aug 27, 2020","1.5513","1.5547","1.5602","1.5467","-0.19%"
"Aug 26, 2020","1.5542","1.5586","1.5601","1.5520","-0.28%"
"Aug 25, 2020","1.5585","1.5582","1.5649","1.5572","0.04%"
"Aug 24, 2020","1.5578","1.5548","1.5621","1.5521","0.24%"
"Aug 21, 2020","1.5540","1.5636","1.5647","1.5519","-0.59%"
"Aug 20, 2020","1.5633","1.5644","1.5682","1.5610","-0.04%"
"Aug 19, 2020","1.5639","1.5712","1.5728","1.5618","-0.43%"
"Aug 18, 2020","1.5707","1.5687","1.5757","1.5651","0.15%"
"Aug 17, 2020","1.5684","1.5709","1.5725","1.5650","-0.15%"
"Aug 14, 2020","1.5708","1.5622","1.5716","1.5600","0.60%"
"Aug 13, 2020","1.5615","1.5612","1.5679","1.5583","0.07%"
"Aug 12, 2020","1.5604","1.5617","1.5659","1.5601","-0.06%"
"Aug 11, 2020","1.5613","1.5670","1.5690","1.5595","-0.35%"
"Aug 10, 2020","1.5668","1.5784","1.5793","1.5664","-0.69%"
"Aug 07, 2020","1.5777","1.5804","1.5827","1.5728","-0.16%"
"Aug 06, 2020","1.5803","1.5738","1.5816","1.5713","0.42%"
"Aug 05, 2020","1.5737","1.5719","1.5785","1.5680","0.11%"
"Aug 04, 2020","1.5720","1.5752","1.5788","1.5705","-0.20%"
"Aug 03, 2020","1.5752","1.5793","1.5813","1.5706","-0.31%"
"Jul 31, 2020","1.5802","1.5902","1.5982","1.5767","-0.64%"
"Jul 30, 2020","1.5904","1.5728","1.5935","1.5702","1.08%"
"Jul 29, 2020","1.5733","1.5675","1.5763","1.5659","0.36%"
"Jul 28, 2020","1.5676","1.5695","1.5723","1.5657","-0.13%"
"Jul 27, 2020","1.5697","1.5617","1.5776","1.5616","0.40%"
"Jul 24, 2020","1.5634","1.5553","1.5647","1.5533","0.54%"
"Jul 23, 2020","1.5551","1.5530","1.5558","1.5474","0.18%"
"Jul 22, 2020","1.5523","1.5515","1.5594","1.5494","0.06%"
"Jul 21, 2020","1.5514","1.5494","1.5520","1.5374","0.14%"
"Jul 20, 2020","1.5492","1.5508","1.5577","1.5461","-0.16%"
"Jul 17, 2020","1.5517","1.5450","1.5538","1.5434","0.43%"
"Jul 16, 2020","1.5451","1.5415","1.5482","1.5389","0.22%"
"Jul 15, 2020","1.5416","1.5517","1.5546","1.5400","-0.65%"
"Jul 14, 2020","1.5517","1.5437","1.5541","1.5422","0.52%"
"Jul 13, 2020","1.5437","1.5360","1.5449","1.5338","0.50%"
"Jul 10, 2020","1.5360","1.5331","1.5402","1.5315","0.19%"
"Jul 09, 2020","1.5332","1.5309","1.5354","1.5280","0.15%"
"Jul 08, 2020","1.5309","1.5336","1.5372","1.5292","-0.16%"
"Jul 07, 2020","1.5334","1.5309","1.5359","1.5283","0.15%"
"Jul 06, 2020","1.5310","1.5236","1.5365","1.5232","0.47%"
"Jul 03, 2020","1.5238","1.5246","1.5272","1.5224","-0.04%"
