"Date","Price","Open","High","Low","Change %"
"Oct 18, 2020","1.3142","1.2893","1.3171","1.2889","1.78%"
"Oct 11, 2020","1.2913","1.3028","1.3084","1.2862","-1.02%"
"Oct 04, 2020","1.3046","1.2933","1.3051","1.2845","0.89%"
"Sep 27, 2020","1.2931","1.2747","1.2980","1.2744","1.46%"
"Sep 20, 2020","1.2745","1.2924","1.2967","1.2674","-1.32%"
"Sep 13, 2020","1.2915","1.2803","1.3008","1.2775","0.95%"
"Sep 06, 2020","1.2793","1.3274","1.3285","1.2763","-3.68%"
"Aug 30, 2020","1.3282","1.3342","1.3484","1.3175","-0.50%"
"Aug 23, 2020","1.3349","1.3086","1.3357","1.3052","2.00%"
"Aug 16, 2020","1.3087","1.3087","1.3269","1.3059","0.02%"
"Aug 09, 2020","1.3084","1.3042","1.3144","1.3004","0.25%"
"Aug 02, 2020","1.3051","1.3082","1.3187","1.2981","-0.28%"
"Jul 26, 2020","1.3088","1.2786","1.3171","1.2780","2.32%"
"Jul 19, 2020","1.2791","1.2565","1.2804","1.2517","1.78%"
"Jul 12, 2020","1.2567","1.2612","1.2667","1.2479","-0.43%"
"Jul 05, 2020","1.2622","1.2485","1.2671","1.2459","1.10%"
"Jun 28, 2020","1.2485","1.2340","1.2531","1.2251","1.22%"
"Jun 21, 2020","1.2335","1.2356","1.2543","1.2313","-0.19%"
"Jun 14, 2020","1.2358","1.2531","1.2688","1.2343","-1.46%"
"Jun 07, 2020","1.2542","1.2681","1.2814","1.2473","-0.98%"
"May 31, 2020","1.2665","1.2339","1.2732","1.2322","2.58%"
"May 24, 2020","1.2346","1.2179","1.2395","1.2163","1.48%"
"May 17, 2020","1.2166","1.2086","1.2297","1.2075","0.50%"
"May 10, 2020","1.2106","1.2406","1.2438","1.2101","-2.44%"
"May 03, 2020","1.2409","1.2499","1.2504","1.2265","-0.76%"
"Apr 26, 2020","1.2504","1.2369","1.2643","1.2359","1.09%"
"Apr 19, 2020","1.2369","1.2487","1.2505","1.2247","-1.06%"
"Apr 12, 2020","1.2501","1.2464","1.2648","1.2407","0.37%"
"Apr 05, 2020","1.2455","1.2264","1.2488","1.2164","1.57%"
"Mar 29, 2020","1.2262","1.2435","1.2476","1.2206","-1.57%"
"Mar 22, 2020","1.2457","1.1660","1.2486","1.1446","7.00%"
"Mar 15, 2020","1.1643","1.2285","1.2431","1.1409","-5.17%"
"Mar 08, 2020","1.2277","1.3047","1.3200","1.2267","-5.92%"
"Mar 01, 2020","1.3050","1.2801","1.3058","1.2738","1.79%"
"Feb 23, 2020","1.2821","1.2959","1.3018","1.2725","-1.16%"
"Feb 16, 2020","1.2971","1.3036","1.3056","1.2848","-0.58%"
"Feb 09, 2020","1.3047","1.2896","1.3070","1.2871","1.19%"
"Feb 02, 2020","1.2893","1.3216","1.3216","1.2881","-2.33%"
"Jan 26, 2020","1.3201","1.3075","1.3210","1.2976","0.95%"
